chr,bin,start,end,mean_female,mean_male,female_cov,male_cov
chr19,12160,4056967,4057444,0.835,0.63,13,21
chr19,12161,4058106,4059802,0.836,0.571,13,30
chr19,12166,4233820,4234037,0.82,0.626,11,19
chr19,12168,4625349,4626078,0.58,0.334,19,87
chr19,12172,4721257,4721517,0.34,0.111,19,38
chr19,12175,5408738,5409329,0.36,0.162,22,93
chr19,12176,5416440,5417338,0.597,0.375,30,57
chr19,12178,5481649,5482899,0.501,0.712,22,57
chr19,12179,5577030,5577762,0.918,0.721,17,46
chr19,12180,5592658,5593324,0.556,0.803,32,51
chr19,12181,6020815,6021577,0.591,0.795,23,67
chr19,12182,6025519,6026131,0.471,0.261,46,134
chr19,12184,6184268,6185860,0.858,0.641,32,91
chr19,12185,6977601,6978388,0.674,0.881,6,35
chr19,12187,7052543,7053197,0.81,0.591,38,96
chr19,12190,7389328,7390238,0.496,0.263,22,31
chr19,12191,7391002,7392214,0.512,0.203,10,34
chr19,12192,7392727,7393342,0.636,0.38,52,120
chr19,12193,7505474,7505491,0.895,0.676,3,36
chr19,12194,7881415,7884759,0.784,0.518,48,170
chr19,12195,8022859,8022976,0.641,0.843,7,9
chr19,12197,8554702,8555173,0.428,0.234,28,47
chr19,12198,8954515,8955050,0.735,0.522,5,15
chr19,12204,9558781,9559033,0.437,0.166,16,44
chr19,12206,9737311,9737483,0.316,0.123,5,51
chr19,12207,9766041,9766193,0.605,0.813,10,11
chr19,12208,9872518,9872814,0.655,0.873,9,37
chr19,12209,9901600,9902768,0.579,0.809,46,131
chr19,12211,9970147,9971292,0.487,0.792,22,64
chr19,12212,10123787,10123949,0.367,0.623,4,14
chr19,12215,10203042,10204242,0.71,0.482,44,76
chr19,12216,10471017,10471392,0.325,0.573,14,59
chr19,12219,10588040,10588351,0.4,0.615,25,43
chr19,12220,10655479,10655674,0.568,0.808,10,18
chr19,12221,10721513,10722313,0.478,0.703,35,70
chr19,12222,10723868,10724643,0.807,0.604,26,59
chr19,12223,10744525,10745241,0.338,0.091,46,148
chr19,12225,10807794,10807982,0.527,0.737,7,23
chr19,12226,10809967,10810391,0.54,0.779,14,33
chr19,12231,10886269,10887043,0.674,0.899,31,65
chr19,12233,11001453,11001763,0.786,0.567,20,38
chr19,12234,11561596,11562357,0.735,0.482,41,84
chr19,12235,11614955,11616833,0.39,0.67,37,93
chr19,12236,11625354,11625513,0.815,0.62,10,36
chr19,12239,11792659,11793152,0.546,0.346,36,63
chr19,12241,12152918,12153444,0.455,0.215,13,24
chr19,12242,12154119,12154379,0.466,0.212,6,19
chr19,12243,12155122,12155857,0.406,0.196,23,54
chr19,12245,12192722,12195339,0.476,0.794,73,169
chr19,12246,12608979,12609493,0.676,0.448,32,74
chr19,12247,13058210,13059697,0.852,0.637,13,48
chr19,12248,13218220,13218975,0.634,0.846,15,34
chr19,12250,13369791,13370519,0.498,0.702,11,61
chr19,12253,14263202,14263843,0.69,0.906,17,24
chr19,12254,14300629,14300863,0.376,0.609,6,54
chr19,12256,14417427,14417585,0.635,0.836,12,35
chr19,12257,14522770,14523200,0.589,0.842,26,27
chr19,12258,14644354,14644714,0.705,0.501,13,40
chr19,12259,15058565,15058613,0.835,0.618,4,12
chr19,12261,15218617,15219363,0.394,0.081,21,40
chr19,12262,15220062,15226523,0.4,0.041,202,231
chr19,12263,15227184,15227580,0.494,0.04,17,25
chr19,12264,15228244,15230945,0.498,0.067,27,50
chr19,12265,15232231,15233097,0.38,0.092,22,20
chr19,12267,15248169,15248693,0.442,0.243,7,11
chr19,12268,15249322,15252656,0.55,0.325,80,129
chr19,12269,15253550,15254760,0.642,0.35,31,32
chr19,12270,15255312,15257441,0.72,0.353,83,112
chr19,12273,15552753,15553422,0.618,0.863,25,70
chr19,12274,15606424,15607362,0.782,0.562,28,69
chr19,12275,15732155,15732320,0.93,0.728,6,27
chr19,12276,15753520,15753886,0.432,0.24,9,38
chr19,12279,15948285,15948640,0.479,0.264,4,49
chr19,12280,16080788,16081396,0.616,0.852,21,42
chr19,12281,16109810,16110445,0.877,0.67,28,101
chr19,12282,16140646,16141719,0.741,0.494,47,125
chr19,12283,16168638,16168869,0.894,0.699,5,25
chr19,12284,16188249,16188904,0.663,0.872,18,21
chr19,12286,17115710,17116554,0.94,0.661,26,19
chr19,12289,17420560,17421415,0.53,0.756,37,43
chr19,12291,17602821,17602873,0.41,0.629,7,23
chr19,12292,17893478,17893657,0.615,0.819,26,66
chr19,12295,18515731,18517429,0.793,0.565,48,123
chr19,12296,18562304,18562363,0.612,0.815,10,28
chr19,12297,18563242,18563693,0.651,0.859,26,53
chr19,12298,18647234,18648823,0.819,0.614,41,86
chr19,12299,18684212,18684299,0.183,0.384,18,30
chr19,12301,18744261,18744908,0.106,0.339,20,10
chr19,12302,18837822,18838164,0.611,0.823,10,5
chr19,12304,18848982,18850010,0.64,0.87,26,77
chr19,12308,18976417,18976655,0.218,0.505,31,32
chr19,12311,19013892,19019023,0.444,0.76,99,136
chr19,12312,19039061,19039594,0.308,0.096,10,21
chr19,12313,19040558,19041721,0.417,0.717,38,88
chr19,12314,19059632,19059873,0.374,0.083,14,38
chr19,12315,19060415,19060486,0.304,0.077,9,44
chr19,12317,19078677,19079179,0.507,0.72,19,36
chr19,12318,19086495,19086693,0.384,0.181,7,11
chr19,12322,19158582,19159202,0.545,0.342,37,45
chr19,12323,19268643,19268895,0.455,0.676,35,64
chr19,12324,19269396,19269564,0.402,0.644,13,25
chr19,12326,19465885,19466188,0.262,0.061,13,19
chr19,12327,19498311,19498562,0.357,0.143,13,34
chr19,12328,19606663,19607085,0.295,0.594,14,29
chr19,12329,19611044,19612340,0.508,0.304,21,66
chr19,12330,19621996,19622265,0.641,0.851,22,55
chr19,12331,19660874,19661646,0.49,0.244,21,47
chr19,12332,19666422,19667341,0.228,0.018,34,178
chr19,12333,19671871,19671891,0.923,0.706,18,23
chr19,12334,19677564,19678096,0.46,0.254,15,53
chr19,12335,19693098,19693415,0.777,0.583,12,48
chr19,12339,19845080,19846022,0.643,0.866,31,52
chr19,12340,19907135,19907280,0.13,0.333,7,23
chr19,12343,20076629,20077247,0.65,0.901,20,52
chr19,12344,20091316,20091357,0.436,0.077,25,18
chr19,12345,20167877,20167983,0.589,0.827,13,46
chr19,12346,20538435,20538599,0.717,0.502,5,12
chr19,12348,20573202,20573362,0.621,0.832,7,22
chr19,12351,21201588,21202162,0.432,0.676,5,12
chr19,12353,21348835,21349073,0.843,0.611,6,26
chr19,12355,21527252,21528068,0.69,0.916,15,34
chr19,12357,21710427,21711900,0.635,0.854,41,124
chr19,12358,21817850,21819543,0.744,0.494,39,84
chr19,12359,22108654,22109255,0.703,0.931,13,34
chr19,12360,22280456,22281110,0.985,0.711,11,15
chr19,12361,22285513,22285685,0.921,0.721,15,21
chr19,12362,22412958,22413834,0.564,0.816,20,54
chr19,12364,22511714,22512490,0.959,0.725,11,20
chr19,12366,22741415,22742215,0.395,0.639,7,18
chr19,12368,22875279,22876398,0.707,0.924,33,81
chr19,12371,22952539,22953379,0.862,0.603,16,52
chr19,12373,23196188,23197801,0.625,0.899,11,28
chr19,12375,23208949,23209657,0.445,0.698,23,48
chr19,12377,23273364,23274029,0.919,0.667,12,30
chr19,12378,23402360,23402662,0.29,0.501,8,12
chr19,12379,23423792,23424011,0.6,0.875,5,7
chr19,12380,23644417,23646047,0.699,0.914,23,40
chr19,12385,24245876,24246906,0.654,0.923,11,17
chr19,12387,24848263,24848945,0.992,0.778,14,18
chr19,12388,24854508,24854585,0.485,0.274,4,6
chr19,12389,24945666,24946461,0.241,0.044,28,105
chr19,12390,25076771,25077356,0.633,0.885,12,42
chr19,12392,25172296,25172311,0.892,0.7,4,11
chr19,12393,25304901,25305418,0.241,0.447,24,59
chr19,12394,25308208,25308326,0.681,0.046,9,34
chr19,12395,25308877,25308889,0.69,0.484,13,24
chr19,12396,25309319,25309700,0.421,0.706,6,16
chr19,12397,25339137,25339323,0.696,0.498,19,52
chr19,12398,25670612,25670697,0.827,0.627,8,18
chr19,12399,25748224,25748622,0.782,0.562,17,39
chr19,12400,25769077,25769890,0.852,0.619,28,60
chr19,12401,25800688,25800831,0.965,0.757,20,38
chr19,12404,25953549,25954454,0.652,0.939,11,80
chr19,12406,25964153,25964314,0.256,0.463,45,72
chr19,12407,25981408,25982345,0.958,0.678,21,37
chr19,12408,26100778,26101051,0.713,0.384,40,83
chr19,12412,26380953,26381386,0.588,0.283,13,45
chr19,12414,26386072,26386669,0.375,0.172,33,66
chr19,12416,27467874,27468589,0.952,0.734,17,40
chr19,12421,29120248,29120661,0.87,0.659,8,31
chr19,12425,29523208,29524088,0.674,0.468,22,73
chr19,12427,29660263,29661001,0.638,0.855,20,31
chr19,12429,29784486,29784919,0.859,0.663,22,28
chr19,12430,29972215,29976309,0.67,0.892,50,85
chr19,12433,30806599,30808142,0.749,0.462,23,47
chr19,12434,31034427,31035654,0.889,0.648,29,59
chr19,12435,31055570,31055875,0.379,0.596,10,8
chr19,12436,31137580,31138768,0.358,0.142,17,59
chr19,12438,31451653,31451768,0.576,0.783,6,12
chr19,12439,31674027,31674550,0.66,0.44,12,25
chr19,12440,32131670,32131846,0.61,0.811,9,16
chr19,12441,32169392,32170277,0.55,0.826,15,47
chr19,12442,32191051,32191233,0.686,0.888,15,12
chr19,12443,32218480,32218556,0.833,0.635,16,30
chr19,12444,32231774,32231820,0.496,0.714,5,5
chr19,12446,32305295,32305736,0.798,0.581,19,25
chr19,12448,32530673,32531559,0.668,0.907,11,37
chr19,12449,32551669,32552582,0.63,0.885,31,77
chr19,12451,32707608,32708050,0.637,0.866,21,43
chr19,12453,32743014,32744012,0.812,0.528,20,79
chr19,12454,32894556,32895370,0.674,0.901,34,76
chr19,12456,32911486,32912564,0.775,0.458,16,58
chr19,12459,32963039,32964422,0.58,0.284,41,97
chr19,12460,33172160,33173577,0.607,0.889,22,65
chr19,12463,33313013,33314130,0.941,0.717,12,30
chr19,12464,33404666,33405784,0.536,0.81,73,95
chr19,12465,33488547,33488842,0.691,0.5,10,15
chr19,12466,33612237,33612860,0.471,0.847,11,24
chr19,12467,33613855,33615703,0.845,0.576,16,12
chr19,12468,34148004,34149644,0.645,0.917,28,60
chr19,12469,34206030,34206827,0.891,0.601,33,63
chr19,12471,34293797,34294764,0.817,0.583,20,47
chr19,12472,34553685,34554888,0.882,0.681,26,44
chr19,12473,34564908,34566590,0.824,0.612,20,10
chr19,12475,34706315,34707373,0.695,0.9,28,42
chr19,12478,35891656,35892541,0.611,0.366,6,12
chr19,12479,35893283,35893391,0.599,0.398,10,39
chr19,12480,36479226,36479413,0.68,0.477,11,22
chr19,12481,36480118,36480533,0.735,0.518,10,24
chr19,12482,36542923,36543425,0.8,0.605,3,3
chr19,12487,36935619,36937305,0.587,0.36,7,30
chr19,12491,37250734,37252429,0.353,0.087,42,72
chr19,12492,37272997,37274237,0.596,0.385,21,34
chr19,12495,37550092,37550254,0.588,0.806,3,6
chr19,12499,37597970,37598543,0.596,0.882,4,4
chr19,12500,37742495,37742655,0.81,0.604,11,20
chr19,12501,37791835,37792097,0.182,0.398,9,41
chr19,12502,37823667,37824310,0.58,0.829,12,43
chr19,12504,37855076,37855327,0.803,0.564,8,31
chr19,12506,37959038,37959998,0.602,0.344,8,10
chr19,12507,38159773,38160301,0.918,0.706,6,11
chr19,12508,38204896,38205229,0.725,0.502,12,25
chr19,12509,38205838,38207319,0.715,0.443,47,90
chr19,12512,38642677,38643128,0.919,0.715,22,26
chr19,12513,38701928,38702197,0.243,0.462,10,30
chr19,12514,39298300,39299180,0.918,0.668,24,27
chr19,12518,39712315,39712702,0.394,0.595,10,21
chr19,12519,39767237,39767473,0.786,0.493,9,43
chr19,12520,39770841,39771088,0.896,0.628,9,33
chr19,12521,39822007,39822129,0.444,0.658,10,19
chr19,12522,39845251,39845758,0.415,0.664,10,36
chr19,12523,39893037,39893938,0.844,0.597,5,12
chr19,12525,40001475,40001503,0.321,0.531,12,15
chr19,12526,40081210,40082114,0.908,0.679,14,43
chr19,12529,40408308,40409554,0.808,0.525,27,72
chr19,12530,40737162,40737299,0.753,0.558,11,19
chr19,12531,40953889,40954702,0.51,0.735,16,72
chr19,12532,40963765,40964413,0.528,0.733,33,50
chr19,12533,40992040,40992305,0.638,0.445,17,42
chr19,12534,41065667,41066370,0.595,0.82,22,56
chr19,12535,41399975,41400360,0.322,0.1,39,73
chr19,12536,41484348,41484506,0.463,0.67,13,51
chr19,12537,41547757,41548277,0.662,0.441,13,32
chr19,12539,41970489,41971099,0.586,0.804,12,44
chr19,12542,42307440,42308300,0.692,0.9,20,55
chr19,12544,42319066,42319284,0.706,0.925,23,38
chr19,12546,42517798,42518355,0.658,0.455,20,36
chr19,12547,42776339,42777852,0.494,0.832,99,151
chr19,12548,42783170,42783641,0.669,0.403,28,69
chr19,12549,42789696,42789901,0.803,0.606,16,39
chr19,12550,42800058,42800238,0.749,0.554,13,17
chr19,12552,42895881,42897030,0.639,0.908,62,149
chr19,12553,42899822,42901061,0.57,0.813,108,162
chr19,12554,42911745,42912056,0.559,0.785,26,54
chr19,12555,42913104,42913231,0.543,0.748,6,27
chr19,12556,42963123,42964292,0.619,0.277,56,127
chr19,12557,43329190,43329466,0.499,0.286,14,45
chr19,12559,43387391,43388467,0.918,0.679,9,32
chr19,12560,43392716,43393268,0.763,0.512,42,92
chr19,12561,43467243,43467471,0.588,0.923,7,21
chr19,12562,43598053,43598624,0.795,0.552,5,23
chr19,12563,43843998,43844232,0.645,0.848,10,21
chr19,12565,43881899,43883002,0.68,0.909,86,161
chr19,12566,43903182,43903639,0.506,0.263,18,61
chr19,12567,43924665,43925422,0.961,0.756,18,48
chr19,12568,43954333,43954848,0.676,0.256,10,10
chr19,12569,43967675,43967699,0.908,0.702,8,14
chr19,12571,44081822,44082220,0.7,0.903,8,21
chr19,12572,44110397,44111180,0.555,0.342,7,12
chr19,12575,44302148,44302732,0.67,0.894,11,14
chr19,12576,44338537,44339099,0.627,0.867,11,17
chr19,12578,44520598,44521580,0.53,0.867,29,39
chr19,12579,44849224,44850506,0.519,0.731,31,108
chr19,12580,44879596,44880116,0.88,0.65,30,69
chr19,12582,44973197,44973723,0.819,0.619,27,69
chr19,12585,45385411,45386240,0.558,0.784,27,68
chr19,12586,45431138,45431657,0.638,0.86,8,27
chr19,12587,45632217,45632681,0.79,0.568,3,19
chr19,12588,45633646,45634094,0.757,0.53,11,40
chr19,12589,45882361,45883388,0.417,0.793,39,40
chr19,12590,45891873,45892707,0.549,0.754,23,43
chr19,12591,45956902,45959231,0.108,0.55,52,30
chr19,12593,46016366,46016847,0.634,0.843,16,46
chr19,12595,46276701,46277068,0.88,0.609,5,18
chr19,12596,46617369,46618562,0.493,0.722,49,75
chr19,12597,46743216,46743741,0.601,0.806,32,89
chr19,12600,47033488,47033998,0.894,0.692,18,35
chr19,12602,47062542,47062871,0.629,0.851,22,72
chr19,12603,47160280,47161657,0.566,0.893,71,76
chr19,12604,47187389,47188278,0.877,0.652,36,103
chr19,12607,47673184,47673419,0.45,0.682,21,67
chr19,12608,48183064,48183189,0.558,0.355,24,31
chr19,12611,48582481,48582747,0.865,0.653,8,14
chr19,12612,48837405,48837597,0.797,0.598,7,13
chr19,12613,48879101,48879529,0.666,0.461,25,54
chr19,12615,49092215,49092667,0.635,0.4,7,10
chr19,12617,49295609,49296621,0.94,0.668,12,38
chr19,12619,49481830,49482117,0.772,0.572,17,60
chr19,12620,49584584,49585365,0.858,0.563,18,42
chr19,12621,49618802,49619703,0.386,0.658,37,115
chr19,12622,49629342,49630174,0.772,0.56,5,6
chr19,12623,49934356,49934924,0.867,0.638,16,32
chr19,12624,49939290,49939583,0.754,0.553,25,19
chr19,12626,49980216,49981884,0.057,0.306,8,5
chr19,12628,50037357,50038144,0.749,0.519,35,83
chr19,12629,50178406,50178733,0.618,0.858,17,22
chr19,12633,50341541,50341667,0.77,0.574,16,22
chr19,12635,50568429,50568934,0.851,0.653,22,43
chr19,12636,50722992,50723762,0.674,0.879,15,43
chr19,12637,50846665,50847624,0.557,0.848,4,8
chr19,12638,50852438,50852776,0.905,0.708,18,45
chr19,12640,51018526,51019006,0.531,0.771,5,3
chr19,12641,51140523,51141682,0.836,0.554,18,20
chr19,12642,51248621,51249558,0.908,0.575,14,56
chr19,12644,51253706,51253802,0.614,0.414,10,26
chr19,12645,51314888,51315373,0.473,0.732,22,61
chr19,12647,51662906,51663535,0.817,0.609,35,54
chr19,12648,51792117,51794003,0.762,0.535,81,165
chr19,12649,51912449,51912892,0.122,0.363,37,67
chr19,12650,51961379,51962079,0.841,0.623,17,64
chr19,12651,52024651,52025602,0.64,0.314,85,193
chr19,12652,52032234,52032591,0.511,0.733,39,98
chr19,12653,52040361,52041362,0.43,0.652,70,162
chr19,12655,52050016,52050663,0.475,0.698,90,145
chr19,12656,52051949,52052382,0.431,0.669,44,66
chr19,12657,52179740,52180049,0.344,0.548,16,49
chr19,12659,52323392,52324047,0.605,0.87,30,43
chr19,12660,52341511,52341976,0.551,0.781,15,64
chr19,12661,52508752,52509782,0.656,0.867,21,65
chr19,12662,52538918,52539321,0.938,0.693,21,49
chr19,12665,52607366,52607841,0.708,0.484,60,124
chr19,12667,52698203,52698366,0.481,0.714,12,32
chr19,12668,52764315,52764420,0.325,0.06,9,14
chr19,12669,52840723,52841690,0.74,0.481,27,76
chr19,12672,53077000,53077091,0.554,0.352,5,16
chr19,12673,53103721,53104070,0.387,0.176,9,16
chr19,12676,53332187,53332813,0.317,0.533,16,44
chr19,12677,53423614,53424084,0.19,0.444,10,18
chr19,12678,53486069,53486493,0.497,0.71,55,119
chr19,12679,53488514,53488797,0.597,0.841,18,26
chr19,12680,53495845,53495974,0.546,0.339,11,25
chr19,12682,53689058,53689096,0.88,0.58,17,35
chr19,12684,53762235,53762464,0.494,0.707,9,37
chr19,12685,53984394,53984676,0.855,0.637,4,9
chr19,12687,54101078,54101853,0.543,0.823,15,52
chr19,12689,54285627,54286139,0.639,0.855,8,45
chr19,12690,54300825,54301839,0.614,0.898,55,155
chr19,12691,54371803,54372203,0.503,0.779,43,107
chr19,12692,54423232,54423504,0.761,0.535,10,16
chr19,12693,54424354,54425776,0.682,0.448,26,59
chr19,12697,54493144,54493771,0.576,0.822,50,59
chr19,12698,54495614,54495915,0.932,0.715,3,7
chr19,12699,54556143,54556449,0.67,0.463,12,21
chr19,12703,54814169,54814716,0.519,0.752,13,38
chr19,12704,54859705,54860329,0.538,0.771,50,95
chr19,12705,54904439,54904567,0.624,0.402,3,12
chr19,12706,54907834,54908072,0.353,0.15,13,45
chr19,12708,55067250,55068180,0.691,0.424,36,74
chr19,12710,55091455,55091710,0.571,0.31,6,12
chr19,12712,55101732,55102098,0.817,0.616,12,46
chr19,12713,55103820,55104344,0.551,0.861,32,82
chr19,12714,55192954,55193103,0.644,0.845,10,18
chr19,12715,55198806,55198920,0.917,0.617,11,19
chr19,12716,55270621,55272508,0.816,0.446,71,157
chr19,12717,55301037,55301261,0.484,0.745,8,39
chr19,12719,55384710,55385129,0.667,0.871,6,7
chr19,12720,55410793,55413239,0.396,0.115,54,217
chr19,12721,55450777,55451218,0.567,0.795,48,110
chr19,12723,55534179,55534941,0.814,0.551,21,54
chr19,12724,55560649,55560703,0.799,0.599,26,25
chr19,12725,55587208,55587450,0.872,0.675,13,39
chr19,12727,55622782,55623061,0.611,0.411,10,20
chr19,12728,55779142,55780084,0.691,0.897,21,47
chr19,12729,55994757,55995641,0.488,0.206,24,100
chr19,12731,56055684,56055833,0.889,0.687,16,29
chr19,12732,56095536,56096193,0.444,0.718,42,111
chr19,12734,56353759,56354033,0.501,0.743,6,22
chr19,12738,56594375,56594978,0.558,0.784,30,48
chr19,12739,56618450,56619277,0.721,0.949,21,42
chr19,12741,56762720,56762822,0.695,0.899,22,18
chr19,12742,56932248,56932366,0.595,0.335,9,33
chr19,12743,56933291,56933945,0.381,0.114,17,50
chr19,12744,57046643,57047382,0.797,0.492,18,34
chr19,12745,57127750,57128216,0.595,0.812,46,64
chr19,12747,57158511,57158622,0.641,0.841,10,24
chr19,12749,57482826,57483438,0.879,0.667,23,54
chr19,12750,57600304,57600443,0.74,0.538,14,25
chr19,12751,57908196,57908411,0.716,0.925,23,45
chr19,12752,58062990,58063402,0.512,0.715,20,37
chr19,12753,58125698,58125995,0.66,0.461,23,54
chr19,12754,58289032,58289974,0.866,0.623,42,72
chr19,12755,58336672,58338007,0.607,0.384,42,92
chr19,12756,58525719,58526253,0.625,0.849,21,55
chr19,12758,58574374,58575424,0.833,0.598,27,51
chr19,12759,58700682,58701529,0.195,0.466,29,23
chr19,12760,58740344,58740844,0.654,0.864,8,33
chr19,12761,58770532,58771495,0.531,0.277,46,89
chr19,12762,58785323,58785873,0.735,0.498,20,61
chr19,12763,58791015,58791236,0.715,0.48,14,17
chr19,12764,58970474,58970570,0.919,0.726,15,28
chr19,12765,59149370,59149575,0.65,0.427,15,46
chr19,12770,59706150,59706449,0.693,0.493,12,46
chr19,12771,59709530,59709677,0.567,0.773,16,49
chr19,12772,59724880,59725806,0.523,0.75,41,80
chr19,12773,59757487,59757849,0.714,0.513,13,44
chr19,12776,59816594,59817136,0.541,0.751,34,87
chr19,12777,59910796,59911131,0.955,0.734,9,21
chr19,12779,59983899,59984180,0.596,0.813,12,43
chr19,12780,59984731,59985456,0.59,0.82,18,15
chr19,12781,59999043,59999329,0.526,0.728,3,14
chr19,12782,60098013,60098172,0.135,0.38,4,21
chr19,12783,60146227,60146493,0.836,0.629,14,34
chr19,12788,60398776,60400092,0.659,0.878,31,56
chr19,12789,60467538,60470020,0.811,0.53,41,101
chr19,12790,60476876,60477211,0.63,0.845,21,34
chr19,12791,60486514,60487239,0.669,0.453,16,52
chr19,12793,60818047,60819278,0.609,0.392,21,89
chr19,12795,60983838,60984019,0.42,0.635,18,48
chr19,12796,61683792,61684041,0.532,0.733,12,38
chr19,12798,61757488,61758335,0.462,0.705,11,46
chr19,12799,61759043,61759620,0.561,0.784,16,48
chr19,12800,61764965,61766937,0.891,0.638,22,52
chr19,12801,61959238,61960706,0.612,0.87,45,59
chr2,12804,325038,325095,0.971,0.7,9,11
chr2,12808,580053,580453,0.745,0.538,19,30
chr2,12809,1115561,1116169,0.546,0.352,7,21
chr2,12810,1116841,1117003,0.527,0.335,5,22
chr2,12812,1414646,1415418,0.86,0.591,7,10
chr2,12817,1561539,1562936,0.675,0.915,9,20
chr2,12822,2181074,2181234,0.844,0.593,18,25
chr2,12827,2530605,2530737,0.663,0.868,4,5
chr2,12832,2845874,2846032,0.648,0.862,14,30
chr2,12833,2847928,2849102,0.496,0.831,5,18
chr2,12835,2850585,2851665,0.471,0.734,18,49
chr2,12836,2920381,2920906,0.678,0.889,6,7
chr2,12839,3326718,3326848,0.362,0.582,4,32
chr2,12842,3686908,3687716,0.625,0.865,6,5
chr2,12843,3688758,3688803,0.54,0.817,4,11
chr2,12844,3689596,3690573,0.512,0.77,11,1
chr2,12845,3798717,3799757,0.595,0.845,10,17
chr2,12847,3807355,3808534,0.965,0.75,27,35
chr2,12848,3809230,3810071,0.974,0.728,11,33
chr2,12856,4275949,4276315,0.636,0.301,17,34
chr2,12858,4277974,4278302,0.633,0.389,22,38
chr2,12860,4505174,4507106,0.306,0.104,16,32
chr2,12866,4775023,4775142,0.514,0.777,5,48
chr2,12868,5021219,5021555,0.588,0.327,9,22
chr2,12869,5022143,5022876,0.554,0.228,13,49
chr2,12872,5024769,5024933,0.546,0.247,13,31
chr2,12874,5120862,5121026,0.769,0.564,13,22
chr2,12877,5317465,5317667,0.722,0.527,10,34
chr2,12878,5325514,5326050,0.763,0.556,7,20
chr2,12881,5371430,5373670,0.677,0.48,29,58
chr2,12884,6060288,6062553,0.688,0.902,35,71
chr2,12886,6087139,6087437,0.434,0.704,12,30
chr2,12887,6088164,6089503,0.335,0.639,57,43
chr2,12888,6090367,6090452,0.415,0.629,8,21
chr2,12889,6105671,6106258,0.581,0.384,8,17
chr2,12890,6315650,6317885,0.833,0.576,66,131
chr2,12891,6413414,6414755,0.452,0.675,38,82
chr2,12892,6417100,6417207,0.433,0.227,12,33
chr2,12894,7128725,7128964,0.953,0.748,5,42
chr2,12897,7131083,7131716,0.902,0.698,17,37
chr2,12899,7177776,7177969,0.267,0.5,8,31
chr2,12900,7178635,7180056,0.256,0.479,20,58
chr2,12905,7783857,7784814,0.709,0.505,13,23
chr2,12906,7785316,7785819,0.705,0.46,26,68
chr2,12907,7786395,7786775,0.698,0.403,11,38
chr2,12908,7788293,7788680,0.685,0.417,14,43
chr2,12912,8270459,8270543,0.792,0.568,16,24
chr2,12913,8271244,8272025,0.713,0.45,11,29
chr2,12916,8561152,8561404,0.656,0.871,22,38
chr2,12921,8734221,8734397,0.86,0.658,20,45
chr2,12922,8992346,8992508,0.447,0.652,6,35
chr2,12925,9165475,9167596,0.563,0.812,52,109
chr2,12926,9502857,9503056,0.379,0.184,16,70
chr2,12927,9852982,9854394,0.897,0.668,41,72
chr2,12928,9946505,9946663,0.785,0.586,6,35
chr2,12929,9947330,9947479,0.745,0.537,5,29
chr2,12930,10381666,10383814,0.858,0.649,30,89
chr2,12932,10694437,10695689,0.542,0.818,15,12
chr2,12934,10696954,10697504,0.535,0.861,16,17
chr2,12935,10698443,10700114,0.474,0.84,34,33
chr2,12937,10702169,10703018,0.392,0.761,11,0
chr2,12938,10703589,10704034,0.39,0.741,10,1
chr2,12939,10704767,10706996,0.443,0.712,22,65
chr2,12941,11824711,11825515,0.461,0.729,13,33
chr2,12943,12241833,12243976,0.823,0.563,27,43
chr2,12947,12261371,12262059,0.907,0.535,22,38
chr2,12948,12262673,12264129,0.801,0.498,51,126
chr2,12949,12474416,12474773,0.858,0.657,10,37
chr2,12951,12502791,12504517,0.889,0.637,28,55
chr2,12956,12657552,12659195,0.581,0.264,40,78
chr2,12957,12659845,12659972,0.629,0.364,10,48
chr2,12959,12921881,12923121,0.84,0.537,28,53
chr2,12961,12924190,12925198,0.807,0.576,19,54
chr2,12962,13535353,13535898,0.467,0.191,17,32
chr2,12964,13537715,13537751,0.624,0.326,33,37
chr2,12965,13538643,13538967,0.553,0.33,38,117
chr2,12969,13718698,13719254,0.499,0.301,16,40
chr2,12971,14145854,14146748,0.656,0.866,5,22
chr2,12973,14762209,14762486,0.802,0.585,6,28
chr2,12976,15110974,15112909,0.888,0.675,17,34
chr2,12977,15113534,15113608,0.827,0.623,6,14
chr2,12979,15317680,15318262,0.574,0.832,4,1
chr2,12982,15320743,15320988,0.461,0.812,9,9
chr2,12984,15322653,15323026,0.36,0.707,11,10
chr2,12985,15323956,15324319,0.273,0.574,12,20
chr2,12986,15324978,15325378,0.199,0.429,8,20
chr2,12987,15458402,15461357,0.789,0.558,55,166
chr2,12989,15701310,15702876,0.777,0.572,13,49
chr2,12990,15703667,15704590,0.724,0.507,5,18
chr2,12992,15719328,15719797,0.54,0.749,17,23
chr2,12993,16020848,16020921,0.557,0.356,16,24
chr2,12996,16803553,16804501,0.862,0.63,80,159
chr2,12997,16839437,16839800,0.742,0.954,7,13
chr2,12998,16967409,16967687,0.622,0.427,12,27
chr2,12999,17286715,17287065,0.776,0.403,10,38
chr2,13000,17288720,17289516,0.768,0.38,41,76
chr2,13001,17291188,17291415,0.697,0.369,9,60
chr2,13002,17292458,17293559,0.627,0.391,43,103
chr2,13006,17394272,17395314,0.894,0.697,43,73
chr2,13007,17596172,17597649,0.575,0.292,23,32
chr2,13008,17598674,17598691,0.546,0.19,9,21
chr2,13011,17803848,17806483,0.451,0.693,55,154
chr2,13012,17955435,17960294,0.785,0.505,65,178
chr2,13014,18027411,18029627,0.457,0.671,98,155
