#rn6.ensGene.name	rn6.ensGene.chrom	rn6.ensGene.strand	rn6.ensGene.txStart	rn6.ensGene.txEnd	rn6.ensGene.name2	rn6.ensemblToGeneName.value
ENSRNOT00000072781.1	chr5	+	169528312	169528418	ENSRNOG00000047760.1	AC135674.1
ENSRNOT00000031564.2	chr5	+	169632526	169637356	ENSRNOG00000023112.2	LOC500594
ENSRNOT00000087911.1	chr5	+	169898301	169899776	ENSRNOG00000057128.1	AABR07050561.1
ENSRNOT00000080781.1	chr5	+	170610958	170611063	ENSRNOG00000055828.1	AABR07050593.1
ENSRNOT00000074342.1	chr5	-	170771016	170771122	ENSRNOG00000048893.1	AABR07050600.1
ENSRNOT00000078924.1	chr5	+	170919635	170919940	ENSRNOG00000057386.1	7SK
ENSRNOT00000087565.1	chr5	+	171157585	171157671	ENSRNOG00000060458.1	SNORA17
ENSRNOT00000032859.5	chr5	+	171242896	171247346	ENSRNOG00000025034.5	RGD1304567
ENSRNOT00000032825.5	chr5	-	171249632	171262119	ENSRNOG00000025030.5	Dffb
ENSRNOT00000031138.5	chr5	+	171262277	171294559	ENSRNOG00000025000.5	Cep104
ENSRNOT00000077307.1	chr5	+	171274543	171294555	ENSRNOG00000025000.5	Cep104
ENSRNOT00000034284.5	chr5	+	171297849	171307682	ENSRNOG00000024796.5	Lrrc47
ENSRNOT00000088710.1	chr5	-	171312792	171327450	ENSRNOG00000056358.1	Ccdc27
ENSRNOT00000055398.2	chr5	-	171355875	171415354	ENSRNOG00000024707.5	Tp73
ENSRNOT00000075423.2	chr5	-	171456301	171459488	ENSRNOG00000046227.2	Tprg1l
ENSRNOT00000080686.1	chr5	-	171456301	171459488	ENSRNOG00000046227.2	Tprg1l
ENSRNOT00000072786.2	chr5	-	171624795	171648563	ENSRNOG00000046803.2	Arhgef16
ENSRNOT00000082847.1	chr5	-	171624795	171648327	ENSRNOG00000046803.2	Arhgef16
ENSRNOT00000075354.2	chr5	+	171825591	171826215	ENSRNOG00000048616.2	AABR07050637.1
ENSRNOT00000087806.1	chr5	+	171913879	171915054	ENSRNOG00000056236.1	AABR07050644.1
ENSRNOT00000084942.1	chr5	-	172043517	172043928	ENSRNOG00000053592.1	AABR07050646.1
ENSRNOT00000016781.3	chr5	-	172077281	172078760	ENSRNOG00000012586.3	Actrt2
ENSRNOT00000089887.1	chr5	-	172175807	172177076	ENSRNOG00000059071.1	AABR07050648.1
ENSRNOT00000037211.4	chr5	+	172259519	172269213	ENSRNOG00000024526.4	Ttc34
ENSRNOT00000017957.6	chr5	+	172273458	172304225	ENSRNOG00000012593.8	Mmel1
ENSRNOT00000064266.3	chr5	+	172275733	172303596	ENSRNOG00000012593.8	Mmel1
ENSRNOT00000018453.6	chr5	-	172304757	172307431	ENSRNOG00000013468.6	Fam213b
ENSRNOT00000018494.5	chr5	-	172328261	172335892	ENSRNOG00000013820.6	Tnfrsf14
ENSRNOT00000018769.2	chr5	+	172364420	172365188	ENSRNOG00000013850.2	Hes5
ENSRNOT00000019028.4	chr5	+	172367397	172384269	ENSRNOG00000014044.6	Pank4
ENSRNOT00000019096.7	chr5	-	172388597	172424081	ENSRNOG00000014226.8	Plch2
ENSRNOT00000066815.2	chr5	+	172444119	172444781	ENSRNOG00000042032.2	AC134160.1
ENSRNOT00000036819.5	chr5	+	172469977	172475144	ENSRNOG00000024012.5	Pex10
ENSRNOT00000019620.4	chr5	-	172476746	172488822	ENSRNOG00000014270.4	Rer1
ENSRNOT00000055361.3	chr5	+	172648949	172655576	ENSRNOG00000036876.3	RGD1308923
ENSRNOT00000091594.1	chr5	-	172773312	172778518	ENSRNOG00000057101.1	AABR07050652.1
ENSRNOT00000022246.4	chr5	-	172797449	172809353	ENSRNOG00000016385.4	Gabrd
ENSRNOT00000068525.4	chr5	+	172825071	172858053	ENSRNOG00000023627.7	Cfap74
ENSRNOT00000022286.7	chr5	+	172887216	172889383	ENSRNOG00000016618.7	Tmem52
ENSRNOT00000079780.1	chr5	-	172890994	172891957	ENSRNOG00000055931.1	AC130035.2
ENSRNOT00000041789.2	chr5	+	172934989	172979986	ENSRNOG00000016638.5	Gnb1
ENSRNOT00000081220.1	chr5	-	173003556	173004039	ENSRNOG00000060851.1	AC105662.1
ENSRNOT00000023097.4	chr5	+	173024334	173046194	ENSRNOG00000017075.4	Slc35e2b
ENSRNOT00000023274.6	chr5	+	173052062	173078046	ENSRNOG00000017213.7	Cdk11b
ENSRNOT00000050188.4	chr5	+	173066956	173077928	ENSRNOG00000017213.7	Cdk11b
ENSRNOT00000066880.3	chr5	-	173078589	173081839	ENSRNOG00000017477.6	Mmp23
ENSRNOT00000023696.7	chr5	-	173082942	173098816	ENSRNOG00000017564.7	Mib2
ENSRNOT00000065877.2	chr5	+	173139627	173140323	ENSRNOG00000042062.2	LOC680656
ENSRNOT00000041753.5	chr5	+	173148883	173149276	ENSRNOG00000030447.5	LOC100364191
ENSRNOT00000024349.5	chr5	+	173152963	173182719	ENSRNOG00000017829.5	Ssu72
ENSRNOT00000089815.1	chr5	-	173170908	173171010	ENSRNOG00000059917.1	U6
ENSRNOT00000068062.1	chr5	+	173183989	173188924	ENSRNOG00000042211.1	Tmem240
ENSRNOT00000045053.3	chr5	-	173189591	173209768	ENSRNOG00000018118.6	Atad3a
ENSRNOT00000024897.7	chr5	-	173216740	173222440	ENSRNOG00000018338.7	Vwa1
ENSRNOT00000055343.2	chr5	-	173230363	173233188	ENSRNOG00000036869.2	Tmem88b
ENSRNOT00000068770.1	chr5	+	173237641	173239899	ENSRNOG00000043331.1	Ankrd65
ENSRNOT00000025213.5	chr5	+	173248244	173252775	ENSRNOG00000018647.5	Mrpl20
ENSRNOT00000025531.6	chr5	+	173256636	173275340	ENSRNOG00000018691.7	Ccnl2
ENSRNOT00000089936.1	chr5	+	173256833	173263334	ENSRNOG00000018691.7	Ccnl2
ENSRNOT00000025952.4	chr5	+	173274773	173276169	ENSRNOG00000018691.7	Ccnl2
ENSRNOT00000091205.1	chr5	+	173288446	173292929	ENSRNOG00000019244.6	Mxra8
ENSRNOT00000067252.1	chr5	+	173288567	173292917	ENSRNOG00000019244.6	Mxra8
ENSRNOT00000026439.5	chr5	+	173296269	173307945	ENSRNOG00000019423.5	Dvl1
ENSRNOT00000026671.2	chr5	-	173308869	173312023	ENSRNOG00000019589.2	Tas1r3
ENSRNOT00000039117.3	chr5	-	173314227	173318313	ENSRNOG00000022455.3	Cptp
ENSRNOT00000026725.4	chr5	+	173318478	173336930	ENSRNOG00000019712.4	Cpsf3l
ENSRNOT00000067704.2	chr5	-	173336033	173339890	ENSRNOG00000022354.6	Pusl1
ENSRNOT00000078453.1	chr5	-	173337021	173340026	ENSRNOG00000022354.6	Pusl1
ENSRNOT00000067841.2	chr5	+	173340059	173354755	ENSRNOG00000022307.6	Acap3
ENSRNOT00000078306.1	chr5	+	173340486	173354753	ENSRNOG00000022307.6	Acap3
ENSRNOT00000026752.7	chr5	+	173372668	173387081	ENSRNOG00000019749.7	Ube2j2
ENSRNOT00000077602.1	chr5	+	173373887	173387104	ENSRNOG00000019749.7	Ube2j2
ENSRNOT00000027055.5	chr5	+	173390900	173395276	ENSRNOG00000019864.5	Fam132a
ENSRNOT00000091045.1	chr5	-	173404782	173404926	ENSRNOG00000054528.1	SNORA48
ENSRNOT00000027060.3	chr5	-	173423474	173425611	ENSRNOG00000019979.3	B3galt6
ENSRNOT00000027215.6	chr5	+	173425906	173444620	ENSRNOG00000019981.6	Sdf4
ENSRNOT00000027251.4	chr5	+	173447783	173450474	ENSRNOG00000020106.4	Tnfrsf4
ENSRNOT00000038747.4	chr5	+	173460353	173463140	ENSRNOG00000022012.5	Tnfrsf18
ENSRNOT00000085087.1	chr5	-	173471009	173483825	ENSRNOG00000020132.8	Ttll10
ENSRNOT00000064207.3	chr5	-	173471022	173484986	ENSRNOG00000020132.8	Ttll10
ENSRNOT00000055319.4	chr5	-	173471022	173484986	ENSRNOG00000020132.8	Ttll10
ENSRNOT00000053718.1	chr5	-	173488330	173488415	ENSRNOG00000035595.1	Mir429
ENSRNOT00000053773.2	chr5	+	173489352	173489472	ENSRNOG00000035650.2	Mir3548
ENSRNOT00000053631.1	chr5	-	173490143	173490238	ENSRNOG00000035508.1	Mir200b
ENSRNOT00000027347.5	chr5	+	173542357	173559761	ENSRNOG00000020199.5	RGD1311517
ENSRNOT00000055314.4	chr5	+	173565511	173566356	ENSRNOG00000036856.4	AC097183.1
ENSRNOT00000045678.5	chr5	-	173589818	173622645	ENSRNOG00000020205.8	Agrn
ENSRNOT00000047854.3	chr5	-	173589913	173611202	ENSRNOG00000020205.8	Agrn
ENSRNOT00000039263.5	chr5	-	173624309	173626248	ENSRNOG00000021802.5	Isg15
ENSRNOT00000027476.5	chr5	+	173640779	173646073	ENSRNOG00000020244.6	Perm1
ENSRNOT00000038556.4	chr5	-	173646194	173653905	ENSRNOG00000020295.5	Plekhn1
ENSRNOT00000027547.5	chr5	-	173654859	173659675	ENSRNOG00000020302.6	Klhl17
ENSRNOT00000087851.1	chr5	-	173654952	173655009	ENSRNOG00000058885.1	AC097183.2
ENSRNOT00000027564.6	chr5	-	173672809	173680290	ENSRNOG00000020342.6	Samd11
ENSRNOT00000009634.6	chr6	-	25149234	25211494	ENSRNOG00000007081.6	Xdh
ENSRNOT00000032417.6	chr6	-	41932243	42002819	ENSRNOG00000024651.6	Greb1
ENSRNOT00000082540.1	chr6	-	50284954	50366207	ENSRNOG00000053737.1	AABR07063811.1
ENSRNOT00000046085.5	chr6	+	92229685	92370421	ENSRNOG00000005063.7	Atl1
ENSRNOT00000007505.2	chr6	-	125819639	125853461	ENSRNOG00000005470.2	Atxn3
ENSRNOT00000009359.7	chr6	-	3104860	3182996	ENSRNOG00000007106.7	Sos1
ENSRNOT00000019894.7	chr6	-	9266890	9459188	ENSRNOG00000014720.7	Srbd1
ENSRNOT00000074516.2	chr6	+	10483307	10488253	ENSRNOG00000046926.2	Tmem247
ENSRNOT00000083128.1	chr6	-	21950099	22092346	ENSRNOG00000027191.6	Birc6
ENSRNOT00000006830.7	chr6	-	21950099	22092346	ENSRNOG00000027191.6	Birc6
ENSRNOT00000011630.6	chr6	+	22696396	23203775	ENSRNOG00000008683.7	Alk
ENSRNOT00000006525.7	chr6	-	26214334	26241337	ENSRNOG00000004901.7	Slc4a1ap
ENSRNOT00000013123.5	chr6	+	27241918	27303615	ENSRNOG00000009898.5	Cib4
ENSRNOT00000047210.3	chr6	+	28235694	28340577	ENSRNOG00000026649.6	Dnmt3a
ENSRNOT00000007160.8	chr6	-	29178857	29483460	ENSRNOG00000005371.8	Klhl29
ENSRNOT00000082657.1	chr6	+	44009871	44131387	ENSRNOG00000061050.1	Mboat2
ENSRNOT00000066904.1	chr6	-	49123083	49324450	ENSRNOG00000004928.5	Sntg2
ENSRNOT00000084661.1	chr6	+	54488037	54588751	ENSRNOG00000004186.7	Snx13
ENSRNOT00000005637.5	chr6	+	54488074	54588778	ENSRNOG00000004186.7	Snx13
ENSRNOT00000063874.3	chr6	+	57516712	58277279	ENSRNOG00000030771.5	Dgkb
ENSRNOT00000068077.2	chr6	-	71035788	71349249	ENSRNOG00000004165.7	Prkd1
ENSRNOT00000088378.1	chr6	+	73345391	73405880	ENSRNOG00000004696.7	Arhgap5
ENSRNOT00000010824.6	chr6	-	76396783	76608864	ENSRNOG00000046256.3	Ralgapa1
ENSRNOT00000065230.4	chr6	-	76455333	76552559	ENSRNOG00000046256.3	Ralgapa1
ENSRNOT00000052408.5	chr6	-	91207177	91250138	ENSRNOG00000049104.2	LOC100911256
ENSRNOT00000009610.6	chr6	+	93281407	93358840	ENSRNOG00000007329.8	Frmd6
ENSRNOT00000074990.2	chr6	-	95387717	95502775	ENSRNOG00000025648.3	Dhrs7l1
ENSRNOT00000006755.6	chr6	-	98417973	98566966	ENSRNOG00000005045.7	Ppp2r5e
ENSRNOT00000077715.1	chr6	-	98422299	98566523	ENSRNOG00000005045.7	Ppp2r5e
ENSRNOT00000075054.3	chr6	+	101532517	101858501	ENSRNOG00000028366.7	Gphn
ENSRNOT00000030470.6	chr6	+	101603318	101859164	ENSRNOG00000028366.7	Gphn
ENSRNOT00000000387.7	chr6	-	103808287	103809191	ENSRNOG00000000345.7	Rn60_6_1120.1
ENSRNOT00000007947.7	chr6	+	104718511	104877980	ENSRNOG00000005998.7	Smoc1
ENSRNOT00000010926.6	chr6	-	106721348	106971250	ENSRNOG00000008086.7	Dpf3
ENSRNOT00000058095.3	chr6	+	107999845	108031643	ENSRNOG00000038166.5	Ptgr2
ENSRNOT00000013602.4	chr6	+	110093818	110227475	ENSRNOG00000010227.4	Gpatch2l
ENSRNOT00000016242.7	chr6	-	111135348	111176918	ENSRNOG00000012146.7	Pomt2
ENSRNOT00000005873.3	chr6	-	115320466	115352681	ENSRNOG00000004300.5	Gtf2a1
ENSRNOT00000004955.4	chr6	+	119519713	119609296	ENSRNOG00000003732.4	Flrt2
ENSRNOT00000079697.1	chr6	-	122656499	122721496	ENSRNOG00000060568.1	Ptpn21
ENSRNOT00000011775.8	chr6	+	126874192	127064626	ENSRNOG00000008728.8	Unc79
ENSRNOT00000075399.2	chr6	+	128973955	128976013	ENSRNOG00000048412.2	Fam181a
ENSRNOT00000079807.1	chr6	-	132116517	132183434	ENSRNOG00000051719.1	AABR07065498.1
ENSRNOT00000089556.1	chr6	+	135259636	135268350	ENSRNOG00000058990.1	AC121220.1
ENSRNOT00000006888.7	chr6	-	138054661	138508753	ENSRNOG00000034190.6	Ighm
ENSRNOT00000040702.5	chr6	-	138114265	138632203	ENSRNOG00000034190.6	Ighm
ENSRNOT00000084892.1	chr6	-	138114363	138662511	ENSRNOG00000034190.6	Ighm
ENSRNOT00000066209.2	chr6	-	138114363	138662365	ENSRNOG00000034190.6	Ighm
ENSRNOT00000082921.1	chr6	-	138114363	138632159	ENSRNOG00000034190.6	Ighm
ENSRNOT00000006942.4	chr6	+	144384772	145133042	ENSRNOG00000005003.4	Ptprn2
ENSRNOT00000064868.2	chr6	+	145740034	145785606	ENSRNOG00000005410.6	Cdca7l
ENSRNOT00000005983.5	chr6	+	788547	960703	ENSRNOG00000004208.5	Crim1
ENSRNOT00000006360.7	chr6	+	1147011	1208392	ENSRNOG00000004706.7	Vit
ENSRNOT00000006527.5	chr6	-	1237757	1319541	ENSRNOG00000004806.5	Strn
ENSRNOT00000089185.1	chr6	-	1428833	1466201	ENSRNOG00000048315.2	Eif2ak2
ENSRNOT00000072810.2	chr6	-	1430960	1454480	ENSRNOG00000048315.2	Eif2ak2
ENSRNOT00000007492.7	chr6	-	1548414	1622196	ENSRNOG00000005289.7	Prkd3
ENSRNOT00000084528.1	chr6	-	1570682	1583417	ENSRNOG00000005289.7	Prkd3
ENSRNOT00000008045.5	chr6	+	2216622	2280777	ENSRNOG00000006082.6	Rmdn2
ENSRNOT00000038448.5	chr6	-	2880517	2886465	ENSRNOG00000027360.6	Srsf7
ENSRNOT00000061980.4	chr6	+	3012803	3095500	ENSRNOG00000007061.5	Arhgef33
ENSRNOT00000010366.7	chr6	-	3276737	3444519	ENSRNOG00000007172.7	Map4k3
ENSRNOT00000078044.1	chr6	-	3276755	3395954	ENSRNOG00000007172.7	Map4k3
ENSRNOT00000010927.5	chr6	+	3657324	3716078	ENSRNOG00000007907.5	Tmem178a
ENSRNOT00000042230.5	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000043870.5	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000070918.3	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000046246.5	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000052367.5	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000042251.5	chr6	-	4258990	4520604	ENSRNOG00000008479.8	Slc8a1
ENSRNOT00000006094.6	chr6	-	6794807	6842758	ENSRNOG00000004535.6	Kcng3
ENSRNOT00000079095.1	chr6	+	6908683	7017561	ENSRNOG00000004685.7	Mta3
ENSRNOT00000061921.4	chr6	+	6946694	7031828	ENSRNOG00000004685.7	Mta3
ENSRNOT00000038246.6	chr6	-	7423519	7741414	ENSRNOG00000025899.6	Thada
ENSRNOT00000090724.1	chr6	+	7793734	7893769	ENSRNOG00000005124.6	Plekhh2
ENSRNOT00000006832.4	chr6	+	7793854	7893519	ENSRNOG00000005124.6	Plekhh2
ENSRNOT00000008200.6	chr6	-	7984018	8066868	ENSRNOG00000005877.6	Lrpprc
ENSRNOT00000083470.1	chr6	+	8218695	8270293	ENSRNOG00000030667.6	Ppm1b
ENSRNOT00000040509.6	chr6	+	8219384	8280124	ENSRNOG00000030667.6	Ppm1b
ENSRNOT00000048656.5	chr6	+	8220227	8273549	ENSRNOG00000030667.6	Ppm1b
ENSRNOT00000079279.1	chr6	+	8220227	8271054	ENSRNOG00000030667.6	Ppm1b
ENSRNOT00000020959.7	chr6	+	9790421	9973396	ENSRNOG00000015603.7	Prkce
ENSRNOT00000005786.6	chr6	+	10151728	10236695	ENSRNOG00000004252.6	Eif3h
ENSRNOT00000090420.1	chr6	+	10306404	10387265	ENSRNOG00000021318.6	Epas1
ENSRNOT00000080507.1	chr6	+	10306507	10385239	ENSRNOG00000021318.6	Epas1
ENSRNOT00000034991.6	chr6	+	10348307	10385213	ENSRNOG00000021318.6	Epas1
ENSRNOT00000061747.3	chr6	+	10912382	11014278	ENSRNOG00000014879.6	Ttc7a
ENSRNOT00000086247.1	chr6	+	10912487	11013048	ENSRNOG00000014879.6	Ttc7a
ENSRNOT00000021538.6	chr6	-	11215938	11274932	ENSRNOG00000015796.6	Msh2
ENSRNOT00000021570.2	chr6	-	11373916	11494459	ENSRNOG00000016110.2	Kcnk12
ENSRNOT00000021998.4	chr6	-	11662357	11686682	ENSRNOG00000016396.4	Fbxo11
ENSRNOT00000061693.4	chr6	+	12179226	12205446	ENSRNOG00000040110.4	Foxn2
ENSRNOT00000061675.5	chr6	+	12253787	12323421	ENSRNOG00000016528.8	Ppp1r21
ENSRNOT00000022380.6	chr6	+	12415804	12468596	ENSRNOG00000016703.6	Gtf2a1l
ENSRNOT00000022802.4	chr6	-	12796382	12997817	ENSRNOG00000016783.6	Fshr
ENSRNOT00000071402.3	chr6	-	13886973	14350180	ENSRNOG00000050220.3	Nrxn1
ENSRNOT00000061588.2	chr6	-	18349166	18351536	ENSRNOG00000040045.2	Crnkl1
ENSRNOT00000090121.1	chr6	+	18970563	19055924	ENSRNOG00000024372.5	Cwf19l2
ENSRNOT00000030803.4	chr6	+	18970615	19037176	ENSRNOG00000024372.5	Cwf19l2
ENSRNOT00000051239.4	chr6	-	21072633	21135880	ENSRNOG00000032703.5	Rasgrp3
ENSRNOT00000079819.1	chr6	-	21074603	21112734	ENSRNOG00000032703.5	Rasgrp3
ENSRNOT00000047674.4	chr6	-	21203501	21600451	ENSRNOG00000033090.4	Ltbp1
ENSRNOT00000006505.6	chr6	-	21735833	21880003	ENSRNOG00000042932.2	Ttc27
ENSRNOT00000035320.4	chr6	-	23433531	23473169	ENSRNOG00000026316.4	Wdr43
ENSRNOT00000043641.5	chr6	+	24377326	24515737	ENSRNOG00000034026.5	Lclat1
ENSRNOT00000047853.4	chr6	-	24579621	24676524	ENSRNOG00000032375.4	Capn13
ENSRNOT00000010613.6	chr6	-	24770316	24985716	ENSRNOG00000007951.7	Galnt14
ENSRNOT00000008983.7	chr6	-	25279625	25315511	ENSRNOG00000027042.6	Srd5a2
ENSRNOT00000061176.3	chr6	-	25397536	25507073	ENSRNOG00000026037.6	Plb1
ENSRNOT00000005855.4	chr6	-	25666654	26051229	ENSRNOG00000004364.4	Bre
ENSRNOT00000006452.6	chr6	+	26051395	26128906	ENSRNOG00000004710.6	Rbks
ENSRNOT00000090342.1	chr6	+	26474070	26485049	ENSRNOG00000057813.1	Ift172
ENSRNOT00000008113.6	chr6	-	26603368	26624092	ENSRNOG00000006146.6	Trim54
ENSRNOT00000011838.6	chr6	-	26866736	26875376	ENSRNOG00000008812.6	Tmem214
ENSRNOT00000012273.4	chr6	-	26939696	27024129	ENSRNOG00000008996.6	Dpysl5
ENSRNOT00000091159.1	chr6	+	27328405	27424864	ENSRNOG00000009967.6	Otof
ENSRNOT00000044278.4	chr6	+	27328514	27424052	ENSRNOG00000009967.6	Otof
ENSRNOT00000015820.2	chr6	+	27768942	27815611	ENSRNOG00000011394.2	Kif3c
ENSRNOT00000077830.1	chr6	+	27975416	28175458	ENSRNOG00000011914.7	Dtnb
ENSRNOT00000060810.2	chr6	+	27975848	28177214	ENSRNOG00000011914.7	Dtnb
ENSRNOT00000068214.4	chr6	-	28393015	28464118	ENSRNOG00000012950.8	Efr3b
ENSRNOT00000005389.6	chr6	+	28571350	28650148	ENSRNOG00000003999.6	Adcy3
ENSRNOT00000091659.1	chr6	-	28677539	28862159	ENSRNOG00000004068.7	Ncoa1
ENSRNOT00000068531.2	chr6	-	28677564	28931843	ENSRNOG00000004068.7	Ncoa1
ENSRNOT00000032664.7	chr6	-	28956634	28967902	ENSRNOG00000023508.7	Mfsd2b
ENSRNOT00000079077.1	chr6	+	29012206	29163134	ENSRNOG00000058973.1	Atad2b
ENSRNOT00000074150.3	chr6	-	30098379	30187337	ENSRNOG00000046741.3	Itsn2
ENSRNOT00000082063.1	chr6	-	32359950	32415287	ENSRNOG00000056107.1	AABR07063508.1
ENSRNOT00000030244.6	chr6	+	33407247	33491725	ENSRNOG00000021475.6	Ldah
ENSRNOT00000082598.1	chr6	+	33786196	33863059	ENSRNOG00000006180.7	Pum2
ENSRNOT00000008359.6	chr6	+	33786626	33865687	ENSRNOG00000006180.7	Pum2
ENSRNOT00000084212.1	chr6	+	34071427	34091048	ENSRNOG00000056141.1	Matn3
ENSRNOT00000007073.5	chr6	+	36941232	36994465	ENSRNOG00000004908.5	Smc6
ENSRNOT00000083383.1	chr6	+	36941595	36995138	ENSRNOG00000004908.5	Smc6
ENSRNOT00000007609.5	chr6	-	37001355	37122023	ENSRNOG00000005345.5	Vsnl1
ENSRNOT00000082616.1	chr6	+	37555181	37665064	ENSRNOG00000052758.1	Fam49a
ENSRNOT00000009779.7	chr6	+	38474803	38777806	ENSRNOG00000024503.6	Nbas
ENSRNOT00000005774.7	chr6	-	41016729	41039437	ENSRNOG00000004110.7	Trib2
ENSRNOT00000005863.6	chr6	-	41799748	41870046	ENSRNOG00000004377.6	Lpin1
ENSRNOT00000084155.1	chr6	-	41799787	41842817	ENSRNOG00000004377.6	Lpin1
ENSRNOT00000090816.1	chr6	+	42180893	42289908	ENSRNOG00000004496.7	Rock2
ENSRNOT00000006403.7	chr6	+	42180893	42286970	ENSRNOG00000004496.7	Rock2
ENSRNOT00000081433.1	chr6	-	42585933	42616548	ENSRNOG00000050553.2	Atp6v1c2
ENSRNOT00000071977.2	chr6	-	42585996	42630983	ENSRNOG00000050553.2	Atp6v1c2
ENSRNOT00000007169.6	chr6	+	42656615	42745098	ENSRNOG00000005344.6	Nol10
ENSRNOT00000086808.1	chr6	+	43234525	43343551	ENSRNOG00000061519.1	Asap2
ENSRNOT00000091061.1	chr6	+	43363791	43391712	ENSRNOG00000052418.1	Cpsf3
ENSRNOT00000086798.1	chr6	+	43644829	43722113	ENSRNOG00000061415.1	Taf1b
ENSRNOT00000082570.1	chr6	+	43743701	43794342	ENSRNOG00000054989.1	Grhl1
ENSRNOT00000066593.4	chr6	+	44225232	44322938	ENSRNOG00000023176.7	Kidins220
ENSRNOT00000005858.6	chr6	+	44230984	44321203	ENSRNOG00000023176.7	Kidins220
ENSRNOT00000009877.6	chr6	-	45509786	45629168	ENSRNOG00000007370.6	Rnf144a
ENSRNOT00000090017.1	chr6	-	47799081	47848075	ENSRNOG00000008299.7	Allc
ENSRNOT00000011048.6	chr6	-	47812993	47848026	ENSRNOG00000008299.7	Allc
ENSRNOT00000085587.1	chr6	+	47841249	47841353	ENSRNOG00000053488.1	U6
ENSRNOT00000029859.7	chr6	-	47955309	48020271	ENSRNOG00000009039.8	Trappc12
ENSRNOT00000060185.4	chr6	+	48021770	48135241	ENSRNOG00000009285.7	Tssc1
ENSRNOT00000044310.5	chr6	+	48452368	48857936	ENSRNOG00000004269.8	Myt1l
ENSRNOT00000005905.6	chr6	+	48708367	48843296	ENSRNOG00000004269.8	Myt1l
ENSRNOT00000077321.1	chr6	+	48866600	48970802	ENSRNOG00000060614.1	Pxdn
ENSRNOT00000079891.1	chr6	+	48866624	48980340	ENSRNOG00000060614.1	Pxdn
ENSRNOT00000008321.7	chr6	+	50528822	50596079	ENSRNOG00000005678.7	Lamb1
ENSRNOT00000078953.1	chr6	+	50954630	51230701	ENSRNOG00000056610.1	Cog5
ENSRNOT00000012004.4	chr6	-	51231479	51257625	ENSRNOG00000008927.4	Hbp1
ENSRNOT00000076777.2	chr6	+	52460057	52631300	ENSRNOG00000010415.8	Atxn7l4
ENSRNOT00000005521.7	chr6	-	53488882	54059119	ENSRNOG00000004158.7	Hdac9
ENSRNOT00000086038.1	chr6	-	53598865	54020406	ENSRNOG00000004158.7	Hdac9
ENSRNOT00000036996.6	chr6	-	55695543	55711146	ENSRNOG00000025049.6	Lrrc72
ENSRNOT00000078548.1	chr6	+	55881386	56055489	ENSRNOG00000006199.6	Ispd
ENSRNOT00000008312.4	chr6	+	55881483	56159464	ENSRNOG00000006199.6	Ispd
ENSRNOT00000049498.4	chr6	-	56732890	56775529	ENSRNOG00000050003.1	Vom2r49
ENSRNOT00000032108.5	chr6	+	56846788	57193961	ENSRNOG00000023116.5	Agmo
ENSRNOT00000005988.4	chr6	-	59976002	60054279	ENSRNOG00000004498.5	Scin
ENSRNOT00000072872.3	chr6	-	60246213	60374389	ENSRNOG00000045854.3	Zfp277
ENSRNOT00000006709.8	chr6	+	60566195	60782556	ENSRNOG00000004823.8	Dock4
ENSRNOT00000075193.2	chr6	+	60566195	60782556	ENSRNOG00000004823.8	Dock4
ENSRNOT00000005618.5	chr6	-	65089317	65319527	ENSRNOG00000004198.5	Stxbp6
ENSRNOT00000083277.1	chr6	-	66963509	67085390	ENSRNOG00000031440.5	Nova1
ENSRNOT00000050372.4	chr6	-	66965376	67084234	ENSRNOG00000031440.5	Nova1
ENSRNOT00000081883.1	chr6	-	71035331	71199110	ENSRNOG00000004165.7	Prkd1
ENSRNOT00000090716.1	chr6	+	72461976	72503847	ENSRNOG00000005765.5	Ap4s1
ENSRNOT00000007887.4	chr6	+	72461976	72502716	ENSRNOG00000005765.5	Ap4s1
ENSRNOT00000035309.4	chr6	-	72648661	72750170	ENSRNOG00000006483.6	Heatr5a
ENSRNOT00000038074.4	chr6	+	72891724	73148536	ENSRNOG00000027444.4	Nubpl
ENSRNOT00000006562.3	chr6	+	73553209	73990534	ENSRNOG00000004841.4	Akap6
ENSRNOT00000007300.5	chr6	-	75626926	75670135	ENSRNOG00000005249.5	Snx6
ENSRNOT00000072589.1	chr6	-	75759139	75763185	ENSRNOG00000045892.1	Cfl2
ENSRNOT00000052076.4	chr6	+	75996642	76034083	ENSRNOG00000032776.4	Srp54a
ENSRNOT00000009304.4	chr6	+	76079879	76171296	ENSRNOG00000007043.4	RGD1305089
ENSRNOT00000076169.2	chr6	+	76675417	76708260	ENSRNOG00000008249.8	Brms1l
ENSRNOT00000010948.6	chr6	+	76675428	76708261	ENSRNOG00000008249.8	Brms1l
ENSRNOT00000082286.1	chr6	+	76675436	76753950	ENSRNOG00000051077.2	Rn60_6_0863.2
ENSRNOT00000034342.5	chr6	-	77624384	77848434	ENSRNOG00000008931.6	Slc25a21
ENSRNOT00000012282.7	chr6	+	78172789	78499599	ENSRNOG00000009151.7	Mipol1
