chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr18,14390,15722872,15722874,0.8,0.521,4,14,3
chr18,14393,15931351,15931353,0.648,0.341,61,201,18
chr18,14394,16010170,16010172,0.507,0.786,8,34,4
chr18,14395,16107753,16107755,0.742,0.457,13,45,8
chr18,14396,16212824,16212826,0.416,0.715,16,52,5
chr18,14397,16271276,16271278,0.889,0.677,7,24,3
chr18,14400,16396113,16396115,0.612,0.33,52,187,20
chr18,14402,16591850,16591852,0.293,0.509,14,34,5
chr18,14412,17915631,17915633,0.635,0.823,10,22,6
chr18,14414,18831865,18831867,0.777,0.539,23,100,10
chr18,14416,18984979,18984981,0.753,0.524,23,95,13
chr18,14418,18986771,18986773,0.809,0.585,22,44,7
chr18,14419,19103339,19103341,0.74,0.538,3,8,3
chr18,14420,19154822,19154824,0.704,0.919,14,23,5
chr18,14422,19177959,19177961,0.538,0.747,9,13,3
chr18,14423,19178523,19178525,0.639,0.886,32,69,9
chr18,14424,19362091,19362093,0.95,0.742,8,20,8
chr18,14426,19363978,19363980,0.958,0.746,4,6,3
chr18,14427,20044392,20044394,0.611,0.797,11,23,4
chr18,14428,20499639,20499641,0.64,0.883,15,31,6
chr18,14430,20614955,20614957,0.849,0.628,14,32,4
chr18,14431,20617943,20617945,0.473,0.796,7,33,5
chr18,14433,20840688,20840690,0.719,0.906,16,36,5
chr18,14435,20841864,20841866,0.733,0.92,11,27,4
chr18,14436,21022009,21022011,0.676,0.445,25,81,11
chr18,14437,21022904,21022906,0.626,0.256,5,6,3
chr18,14439,21689685,21689687,0.526,0.775,60,112,18
chr18,14440,21843318,21843320,0.469,0.676,10,11,3
chr18,14442,22295122,22295124,0.677,0.865,12,30,6
chr18,14449,22806225,22806227,0.66,0.856,18,45,6
chr18,14450,22871228,22871230,0.758,0.985,10,21,3
chr18,14452,23042451,23042453,0.735,0.931,17,65,8
chr18,14454,23054335,23054337,0.917,0.679,11,38,5
chr18,14459,23334531,23334533,0.632,0.865,5,39,5
chr18,14460,23697280,23697282,0.545,0.737,7,31,3
chr18,14463,23901920,23901922,0.583,0.8,27,43,7
chr18,14465,23903270,23903272,0.542,0.794,3,20,3
chr18,14469,24022816,24022818,0.726,0.917,9,7,3
chr18,14470,24174745,24174747,0.7,0.906,22,85,10
chr18,14474,24392511,24392513,0.551,0.906,11,35,6
chr18,14478,24694010,24694012,0.752,0.493,11,24,3
chr18,14479,24716406,24716408,0.258,0.552,29,48,7
chr18,14481,25093154,25093156,0.516,0.722,6,22,3
chr18,14482,25093780,25093782,0.648,0.853,20,79,8
chr18,14483,25096735,25096737,0.666,0.439,13,31,4
chr18,14485,25165435,25165437,0.52,0.764,20,77,6
chr18,14491,25418430,25418432,0.544,0.81,9,15,5
chr18,14493,25522247,25522249,0.63,0.853,23,39,8
chr18,14494,25636970,25636972,0.416,0.66,15,41,4
chr18,14495,25824704,25824706,0.819,0.583,15,31,6
chr18,14496,25879268,25879270,0.549,0.77,17,39,6
chr18,14497,25922080,25922082,0.628,0.827,11,26,5
chr18,14500,25951050,25951052,0.888,0.649,32,130,14
chr18,14502,26022899,26022901,0.572,0.857,12,20,4
chr18,14503,26023994,26023996,0.629,0.873,24,31,7
chr18,14504,26090098,26090100,0.723,0.913,7,8,3
chr18,14506,26214722,26214724,0.548,0.299,8,25,4
chr18,14510,26650597,26650599,0.492,0.724,31,80,13
chr18,14511,26882293,26882295,0.309,0.641,7,31,4
chr18,14512,26953668,26953670,0.866,0.628,10,54,5
chr18,14513,26954353,26954355,0.866,0.562,24,54,10
chr18,14515,27035003,27035005,0.474,0.724,9,41,5
chr18,14517,27160279,27160281,0.703,0.418,26,34,5
chr18,14518,27191493,27191495,0.352,0.604,11,26,3
chr18,14519,27346505,27346507,0.553,0.814,10,23,4
chr18,14521,27352861,27352863,0.127,0.363,16,41,7
chr18,14523,27451327,27451329,0.299,0.512,10,25,3
chr18,14524,27480470,27480472,0.632,0.824,17,30,4
chr18,14528,27633753,27633755,0.358,0.638,12,44,5
chr18,14531,27660932,27660934,0.921,0.709,17,52,10
chr18,14532,27873129,27873131,0.863,0.631,24,74,13
chr18,14534,28300752,28300754,0.874,0.603,30,68,7
chr18,14535,28350699,28350701,0.576,0.779,20,59,9
chr18,14540,28684580,28684582,0.135,0.363,26,80,7
chr18,14542,28727295,28727297,0.633,0.822,6,12,3
chr18,14544,28772730,28772732,0.678,0.89,26,67,5
chr18,14546,29012153,29012155,0.418,0.658,6,16,3
chr18,14548,29047315,29047317,0.644,0.89,42,126,16
chr18,14549,29049231,29049233,0.565,0.866,30,46,8
chr18,14550,29050252,29050254,0.586,0.819,11,38,6
chr18,14551,29103082,29103084,0.258,0.516,10,23,5
chr18,14552,29346516,29346518,0.729,0.467,43,97,10
chr18,14555,29610495,29610497,0.751,0.547,29,31,8
chr18,14556,29627878,29627880,0.508,0.726,10,23,5
chr18,14557,29969508,29969510,0.782,0.58,25,38,8
chr18,14558,29975764,29975766,0.886,0.606,18,52,6
chr18,14559,29983477,29983479,0.423,0.65,19,41,4
chr18,14564,30249828,30249830,0.452,0.717,14,29,4
chr18,14565,30252978,30252980,0.169,0.388,5,10,3
chr18,14566,30253593,30253595,0.359,0.573,4,10,3
chr18,14569,30294778,30294780,0.808,0.601,13,22,3
chr18,14570,30295632,30295634,0.806,0.603,8,18,4
chr18,14573,30520730,30520732,0.466,0.691,7,24,4
chr18,14576,30566085,30566087,0.744,0.522,17,21,4
chr18,14577,30781665,30781667,0.4,0.665,12,27,5
chr18,14579,30857411,30857413,0.599,0.799,16,37,6
chr18,14580,30893926,30893928,0.84,0.626,17,29,5
chr18,14583,30979082,30979084,0.717,0.494,15,39,5
chr18,14585,30980653,30980655,0.569,0.359,14,30,4
chr18,14587,31110003,31110005,0.488,0.713,9,22,3
chr18,14592,31352622,31352624,0.255,0.026,29,49,9
chr18,14593,31354625,31354627,0.798,0.566,69,93,15
chr18,14595,31447830,31447832,0.469,0.703,12,29,3
chr18,14596,31489588,31489590,0.522,0.749,16,21,4
chr18,14597,31574166,31574168,0.798,0.547,12,20,4
chr18,14598,31678435,31678437,0.666,0.88,29,97,9
chr18,14600,31945963,31945965,0.504,0.781,19,44,5
chr18,14601,31946511,31946513,0.614,0.819,7,30,3
chr18,14602,32125518,32125520,0.591,0.804,15,58,6
chr18,14603,32175595,32175597,0.705,0.497,21,73,6
chr18,14604,32444737,32444739,0.633,0.865,20,74,7
chr18,14605,32445496,32445498,0.54,0.855,19,47,6
chr18,14606,32446268,32446270,0.616,0.856,10,15,3
chr18,14607,32451430,32451432,0.47,0.661,20,41,7
chr18,14608,32511977,32511979,0.605,0.355,45,92,11
chr18,14609,32599347,32599349,0.214,0.405,54,105,10
chr18,14614,33701094,33701096,0.724,0.95,13,29,6
chr18,14616,33702508,33702510,0.646,0.923,5,24,4
chr18,14617,33703291,33703293,0.675,0.901,7,18,4
chr18,14624,34591370,34591372,0.89,0.546,14,35,6
chr18,14625,34592851,34592853,0.887,0.652,8,19,4
chr18,14632,36262140,36262142,0.756,0.961,4,16,3
chr18,14636,36369233,36369235,0.571,0.347,10,24,4
chr18,14637,36424712,36424714,0.752,0.546,17,45,4
chr18,14638,36580686,36580688,0.522,0.758,9,21,6
chr18,14639,36597692,36597694,0.681,0.426,10,13,4
chr18,14640,36679594,36679596,0.681,0.874,16,36,7
chr18,14642,36705745,36705747,0.465,0.257,60,113,13
chr18,14644,36830368,36830370,0.69,0.378,11,28,5
chr18,14646,36910559,36910561,0.485,0.915,5,12,3
chr18,14647,36910934,36910936,0.476,0.838,3,9,3
chr18,14648,37100128,37100130,0.939,0.713,24,44,9
chr18,14649,37172986,37172988,0.548,0.737,7,14,4
chr18,14652,37441893,37441895,0.825,0.601,9,20,4
chr18,14654,37595951,37595953,0.58,0.796,11,27,4
chr18,14655,37597835,37597837,0.325,0.631,23,78,10
chr18,14656,37819654,37819656,0.928,0.544,10,25,3
chr18,14658,38906094,38906096,0.398,0.705,12,33,5
chr18,14662,39529825,39529827,0.642,0.903,37,31,7
chr18,14668,40122271,40122273,0.861,0.33,14,24,8
chr18,14669,40218452,40218454,0.33,0.687,23,52,7
chr18,14674,40358824,40358826,0.643,0.91,10,18,3
chr18,14675,40452731,40452733,0.308,0.501,3,9,3
chr18,14676,40585104,40585106,0.66,0.305,12,20,4
chr18,14680,41453742,41453744,0.363,0.114,8,25,3
chr18,14682,41759655,41759657,0.695,0.923,17,31,4
chr18,14683,41760097,41760099,0.699,0.923,4,20,3
chr18,14685,42033113,42033115,0.677,0.91,7,16,3
chr18,14686,42034299,42034301,0.714,0.915,5,16,3
chr18,14688,42069606,42069608,0.605,0.8,9,17,4
chr18,14689,42124142,42124144,0.649,0.971,5,22,3
chr18,14690,42125215,42125217,0.625,0.957,5,12,5
chr18,14693,42346151,42346153,0.603,0.919,5,10,3
chr18,14696,43368683,43368685,0.768,0.956,3,17,3
chr18,14697,43550869,43550871,0.748,0.512,13,50,6
chr18,14698,43551812,43551814,0.748,0.537,23,102,9
chr18,14699,43570289,43570291,0.875,0.646,49,57,10
chr18,14705,44002686,44002688,0.474,0.722,44,43,7
chr18,14707,44004115,44004117,0.528,0.756,22,63,5
chr18,14708,44141415,44141417,0.337,0.096,17,55,6
chr18,14712,44200992,44200994,0.721,0.92,5,8,3
chr18,14713,44387955,44387957,0.882,0.633,26,57,9
chr18,14714,44388955,44388957,0.878,0.645,9,23,3
chr18,14717,44495419,44495421,0.649,0.898,9,18,3
chr18,14719,44496653,44496655,0.602,0.909,40,36,7
chr18,14727,44663155,44663157,0.552,0.872,14,55,5
chr18,14728,44739857,44739859,0.251,0.454,14,31,5
chr18,14729,44811263,44811265,0.373,0.674,19,62,8
chr18,14732,44962620,44962622,0.714,0.968,14,11,5
chr18,14734,45947791,45947793,0.495,0.745,33,77,10
chr18,14736,46561022,46561024,0.693,0.915,8,32,5
chr18,14738,46684863,46684865,0.708,0.902,5,5,3
chr18,14740,47318244,47318246,0.769,0.411,15,39,12
chr18,14741,47319561,47319563,0.773,0.44,6,9,3
chr18,14742,47320207,47320209,0.866,0.612,27,53,9
chr18,14746,47982573,47982575,0.749,0.958,25,35,5
chr18,14750,48010469,48010471,0.511,0.308,11,23,4
chr18,14751,48131696,48131698,0.819,0.577,26,49,9
chr18,14752,48303548,48303550,0.921,0.715,19,42,6
chr18,14753,48383301,48383303,0.86,0.609,16,22,4
chr18,14754,48536902,48536904,0.762,0.534,25,49,10
chr18,14755,48607338,48607340,0.408,0.724,23,61,16
chr18,14756,48608635,48608637,0.49,0.248,16,36,13
chr18,14760,48750353,48750355,0.674,0.922,62,78,16
chr18,14761,48752036,48752038,0.737,0.934,17,69,6
chr18,14762,48773454,48773456,0.652,0.838,11,31,5
chr18,14763,48951910,48951912,0.452,0.655,10,40,3
chr18,14764,49179811,49179813,0.656,0.85,20,68,7
chr18,14765,49180474,49180476,0.688,0.886,15,36,6
chr18,14768,49268630,49268632,0.535,0.77,18,57,7
chr18,14772,49348680,49348682,0.729,0.921,12,34,6
chr18,14774,49398077,49398079,0.898,0.631,20,39,10
chr18,14777,49894060,49894062,0.778,0.541,6,16,3
chr18,14778,49919177,49919179,0.307,0.508,14,59,7
chr18,14781,49940881,49940883,0.414,0.648,20,45,8
chr18,14783,50068750,50068752,0.546,0.814,8,17,4
chr18,14784,50069692,50069694,0.527,0.83,21,44,7
chr18,14785,50070795,50070797,0.594,0.846,49,108,14
chr18,14787,50084698,50084700,0.503,0.712,30,84,10
chr18,14788,50139199,50139201,0.508,0.285,37,56,12
chr18,14790,50428613,50428615,0.677,0.914,25,63,8
chr18,14794,50788779,50788781,0.49,0.767,11,33,5
chr18,14796,51077485,51077487,0.754,0.965,9,11,3
chr18,14805,51314923,51314925,0.562,0.327,20,82,7
chr18,14806,51384921,51384923,0.241,0.52,11,50,6
chr18,14807,51392029,51392031,0.507,0.7,7,25,3
chr18,14808,51522348,51522350,0.627,0.834,18,39,5
chr18,14810,51535167,51535169,0.884,0.608,27,79,9
chr18,14812,51589901,51589903,0.477,0.668,43,50,8
chr18,14814,51630492,51630494,0.707,0.911,10,14,5
chr18,14817,51693343,51693345,0.466,0.67,13,26,5
chr18,14820,51773547,51773549,0.676,0.421,32,79,7
chr18,14824,52050228,52050230,0.492,0.878,19,74,9
chr18,14827,52278836,52278838,0.709,0.464,20,68,7
chr18,14828,52292293,52292295,0.528,0.803,33,84,14
chr18,14829,52381418,52381420,0.488,0.24,68,141,17
chr18,14831,52394966,52394968,0.574,0.779,14,31,8
chr18,14835,52424722,52424724,0.569,0.273,16,31,7
chr18,14836,52854182,52854184,0.88,0.655,61,162,17
chr18,14837,53165804,53165806,0.409,0.613,11,25,5
chr18,14838,53203968,53203970,0.772,0.977,7,6,3
chr18,14839,53270792,53270794,0.396,0.616,9,28,5
chr18,14840,53609693,53609695,0.434,0.678,26,97,9
chr18,14842,53828164,53828166,0.526,0.726,12,31,4
chr18,14843,53836046,53836048,0.671,0.871,16,39,7
chr18,14844,53909710,53909712,0.907,0.705,8,25,3
chr18,14856,55881487,55881489,0.742,0.53,10,22,3
chr18,14857,55910967,55910969,0.749,0.545,14,42,5
chr18,14858,56041861,56041863,0.856,0.577,3,12,3
chr18,14860,56297492,56297494,0.587,0.828,44,123,15
chr18,14862,56535029,56535031,0.949,0.736,25,28,4
chr18,14863,56617594,56617596,0.617,0.276,9,3,3
chr18,14864,56786491,56786493,0.67,0.863,15,27,4
chr18,14867,56960241,56960243,0.294,0.565,29,79,11
chr18,14868,56966063,56966065,0.763,0.539,29,61,10
chr18,14869,57158079,57158081,0.674,0.871,20,40,5
chr18,14870,57267991,57267993,0.42,0.672,9,33,6
chr18,14871,57268789,57268791,0.561,0.811,12,33,4
chr18,14872,57515286,57515288,0.385,0.615,34,128,9
chr18,14873,57637181,57637183,0.456,0.664,13,42,3
chr18,14874,57638477,57638479,0.55,0.247,31,48,8
chr18,14875,57873383,57873385,0.7,0.438,5,11,3
chr18,14876,57975335,57975337,0.594,0.807,10,27,4
chr18,14879,58070820,58070822,0.697,0.438,35,96,12
chr18,14880,58207949,58207951,0.738,0.529,5,14,3
chr18,14881,58208362,58208364,0.73,0.511,8,16,3
chr18,14882,58212046,58212048,0.672,0.443,30,28,5
chr18,14886,59087314,59087316,0.601,0.875,10,19,5
chr18,14887,59089094,59089096,0.496,0.725,9,30,3
chr18,14888,59184309,59184311,0.486,0.692,43,57,12
chr18,14890,59250895,59250897,0.907,0.702,3,6,3
chr18,14891,59271141,59271143,0.407,0.62,22,33,8
chr18,14893,59406174,59406176,0.648,0.837,21,57,7
chr18,14894,59412186,59412188,0.842,0.58,42,80,13
chr18,14895,59422361,59422363,0.584,0.843,31,122,16
chr18,14897,59750318,59750320,0.638,0.344,9,29,4
chr18,14899,59752022,59752024,0.653,0.876,16,52,5
chr18,14900,59900397,59900399,0.517,0.799,4,15,3
chr18,14902,60076699,60076701,0.614,0.823,31,111,13
chr18,14903,60153693,60153695,0.503,0.185,48,92,9
chr18,14904,60353078,60353080,0.7,0.91,24,41,10
chr18,14907,60413974,60413976,0.806,0.579,36,77,11
chr18,14909,60435761,60435763,0.698,0.9,24,35,6
chr18,14910,60543073,60543075,0.562,0.307,21,37,10
chr18,14911,60621140,60621142,0.42,0.681,16,86,12
chr18,14912,60779598,60779600,0.517,0.764,6,4,3
chr18,14915,60988079,60988081,0.502,0.777,8,16,3
chr18,14917,61031147,61031149,0.697,0.491,26,67,6
chr18,14918,61228584,61228586,0.662,0.879,10,20,6
chr18,14919,61229212,61229214,0.511,0.752,43,85,11
chr18,14920,61376087,61376089,0.552,0.802,34,75,16
chr18,14921,61377056,61377058,0.445,0.211,39,85,12
chr18,14922,61488970,61488972,0.532,0.76,11,51,5
chr18,14923,61616691,61616693,0.688,0.43,51,145,17
chr18,14926,61660974,61660976,0.319,0.513,25,26,6
chr18,14928,61717890,61717892,0.7,0.447,27,70,9
chr18,14929,61988407,61988409,0.661,0.422,29,81,10
chr18,14932,62045960,62045962,0.629,0.873,30,71,10
chr18,14934,62090802,62090804,0.619,0.818,51,112,23
chr18,14935,62122527,62122529,0.753,0.533,20,42,7
chr18,14936,62177789,62177791,0.716,0.508,21,18,3
chr18,14937,62228019,62228021,0.832,0.629,10,45,5
chr18,14939,62422986,62422988,0.656,0.884,7,51,7
chr18,14941,62436542,62436544,0.587,0.789,6,23,3
chr18,14947,62849400,62849402,0.259,0.471,9,49,4
chr18,14949,62924622,62924624,0.631,0.324,12,15,6
chr18,14950,62964358,62964360,0.618,0.379,7,31,6
chr18,14952,63004771,63004773,0.685,0.242,10,11,5
chr18,14953,63015307,63015309,0.398,0.18,14,28,4
chr18,14956,63084486,63084488,0.57,0.871,17,42,8
chr18,14957,63109208,63109210,0.059,0.288,4,17,3
chr18,14958,63116626,63116628,0.622,0.407,8,16,3
chr18,14962,63237496,63237498,0.526,0.727,5,21,3
chr18,14963,63240121,63240123,0.682,0.417,18,61,7
chr18,14964,63358211,63358213,0.657,0.342,24,54,9
chr18,14965,63393428,63393430,0.824,0.579,11,20,5
chr18,14966,63488534,63488536,0.698,0.471,15,14,5
chr18,14967,63906542,63906544,0.698,0.476,22,45,11
chr18,14969,64083130,64083132,0.447,0.221,23,30,10
chr18,14970,64085551,64085553,0.575,0.277,17,37,5
chr18,14971,64114345,64114347,0.401,0.66,10,29,3
chr18,14973,64246123,64246125,0.766,0.98,8,21,5
chr18,14977,64736530,64736532,0.584,0.375,27,59,10
chr18,14978,64775158,64775160,0.611,0.914,11,21,7
chr18,14980,64998949,64998951,0.31,0.634,29,48,8
chr18,14981,65018839,65018841,0.884,0.664,5,13,3
chr18,14982,65019180,65019182,0.861,0.613,26,54,8
chr18,14984,65237042,65237044,0.695,0.921,6,16,4
chr18,14985,65247992,65247994,0.326,0.521,20,40,7
chr18,14986,65275028,65275030,0.86,0.601,12,28,6
chr18,14988,65437967,65437969,0.571,0.764,14,23,6
chr18,14989,65460501,65460503,0.817,0.54,37,92,13
chr18,14990,65682064,65682066,0.624,0.814,20,66,8
chr18,14991,65702832,65702834,0.765,1,8,24,3
chr18,14992,65725791,65725793,0.689,0.937,42,108,18
chr18,14993,65727356,65727358,0.595,0.941,6,11,3
chr18,14995,65830223,65830225,0.465,0.665,6,18,4
chr18,14996,66478837,66478839,0.527,0.717,7,22,4
chr18,14998,66480242,66480244,0.582,0.781,16,40,7
chr18,15004,67210570,67210572,0.526,0.775,12,25,6
chr18,15005,67211577,67211579,0.462,0.716,10,31,6
chr18,15010,67858243,67858245,0.536,0.76,7,35,5
chr18,15011,68226736,68226738,0.82,0.596,34,61,9
chr18,15014,68346823,68346825,0.442,0.683,15,46,7
chr18,15016,68348199,68348201,0.697,0.902,3,8,3
chr18,15017,68373448,68373450,0.725,0.917,25,76,8
chr18,15022,68585979,68585981,0.682,0.881,14,31,7
chr18,15023,68644999,68645001,0.324,0.536,10,21,3
chr18,15024,68674213,68674215,0.578,0.765,19,40,5
chr18,15025,68861509,68861511,0.526,0.738,5,8,3
chr18,15026,68868959,68868961,0.654,0.907,4,14,3
chr18,15027,68869546,68869548,0.639,0.908,12,17,4
chr18,15029,68893658,68893660,0.605,0.867,9,27,4
chr18,15030,68910318,68910320,0.511,0.279,45,69,14
chr18,15034,69016655,69016657,0.904,0.634,46,98,12
chr18,15036,69020900,69020902,0.472,0.684,9,30,4
chr18,15038,69304427,69304429,0.231,0.442,54,114,15
chr18,15039,69328715,69328717,0.84,0.597,24,53,10
chr18,15043,69551134,69551136,0.283,0.022,7,37,3
chr18,15047,69834766,69834768,0.482,0.795,29,58,4
chr18,15048,69863080,69863082,0.557,0.872,31,67,11
chr18,15049,69981324,69981326,0.898,0.647,28,61,7
chr18,15050,69982151,69982153,0.935,0.717,9,53,6
chr18,15051,70122586,70122588,0.613,0.825,44,94,14
chr18,15052,70164982,70164984,0.737,0.524,8,17,3
chr18,15053,70165549,70165551,0.507,0.284,15,12,4
chr18,15054,70348918,70348920,0.553,0.782,4,7,3
chr18,15055,70426219,70426221,0.133,0.343,12,27,5
chr18,15056,70678511,70678513,0.306,0.553,61,159,17
chr18,15057,70790393,70790395,0.91,0.702,15,30,4
chr18,15059,70873640,70873642,0.596,0.82,31,73,10
chr18,15061,70927653,70927655,0.588,0.805,30,41,9
chr18,15062,70936782,70936784,0.83,0.603,18,32,5
chr18,15063,70940519,70940521,0.669,0.869,20,51,8
chr18,15070,71168125,71168127,0.53,0.757,7,10,4
chr18,15073,71585950,71585952,0.28,0.582,4,10,3
chr18,15075,71710791,71710793,0.991,0.332,4,12,4
chr18,15077,71782481,71782483,0.748,0.352,15,52,4
chr18,15079,71973471,71973473,0.608,0.795,4,15,3
chr18,15080,72004116,72004118,0.909,0.509,6,20,4
chr18,15084,72329515,72329517,0.668,0.402,11,28,5
chr18,15085,72380597,72380599,0.454,0.642,8,24,3
chr18,15086,72399336,72399338,0.524,0.749,49,76,11
chr18,15087,72538305,72538307,0.685,0.881,72,86,22
chr18,15088,72602197,72602199,0.693,0.9,20,61,5
chr18,15089,72602804,72602806,0.67,0.9,30,63,10
chr18,15092,72816987,72816989,0.639,0.833,18,44,8
chr18,15093,72856630,72856632,0.042,0.275,37,109,15
chr18,15094,72946426,72946428,0.444,0.636,39,63,9
chr18,15095,73118566,73118568,0.387,0.64,4,22,4
chr18,15096,73142473,73142475,0.453,0.214,16,21,4
chr18,15097,73157525,73157527,0.352,0.104,10,22,4
chr18,15098,73162787,73162789,0.527,0.247,8,29,4
chr18,15099,73163579,73163581,0.703,0.483,13,29,4
chr18,15100,73227644,73227646,0.451,0.8,10,28,5
chr18,15103,73358357,73358359,0.58,0.352,18,40,6
chr18,15104,73368352,73368354,0.7,0.903,27,67,15
chr18,15109,73741482,73741484,0.677,0.902,19,61,6
chr18,15110,73894791,73894793,0.647,0.865,55,91,14
chr18,15111,73924624,73924626,0.676,0.872,13,69,7
chr18,15112,73979498,73979500,0.689,0.444,77,199,17
chr18,15113,73995669,73995671,0.541,0.732,12,34,3
chr18,15114,74005852,74005854,0.73,0.511,23,52,8
chr18,15117,74106359,74106361,0.724,0.516,15,52,6
chr18,15122,74217029,74217031,0.586,0.839,15,63,7
chr18,15124,74218101,74218103,0.301,0.571,71,112,19
chr18,15125,74367637,74367639,0.615,0.831,45,129,18
chr18,15127,74454778,74454780,0.913,0.653,32,44,7
chr18,15129,74491710,74491712,0.486,0.675,18,57,6
chr18,15130,74605384,74605386,0.43,0.646,38,101,12
chr18,15131,74606663,74606665,0.644,0.852,13,27,4
chr18,15132,74944831,74944833,0.66,0.434,4,5,4
chr18,15134,75179611,75179613,0.583,0.786,24,78,9
chr18,15136,75616400,75616402,0.906,0.669,41,84,12
chr18,15138,75709188,75709190,0.651,0.902,17,50,9
chr18,15142,75713900,75713902,0.694,0.923,8,20,5
chr18,15143,75824280,75824282,0.531,0.79,10,17,8
chr18,15145,76043002,76043004,0.836,0.603,13,45,6
chr18,15146,76043999,76044001,0.866,0.647,10,27,6
chr18,15147,76179258,76179260,0.633,0.882,27,63,12
chr18,15150,76303922,76303924,0.86,0.508,5,12,3
chr18,15159,76618782,76618784,0.886,0.66,25,39,7
chr18,15160,76713370,76713372,0.556,0.773,5,16,3
chr18,15162,76752852,76752854,0.642,0.419,11,53,4
chr18,15163,76768034,76768036,0.595,0.823,12,24,3
chr18,15164,76794194,76794196,0.449,0.667,10,23,4
chr18,15168,76984912,76984914,0.534,0.321,5,26,3
chr18,15169,76995836,76995838,0.702,0.416,30,70,12
chr18,15170,77142103,77142105,0.481,0.813,4,16,3
chr18,15171,77145685,77145687,0.307,0.521,22,73,8
chr18,15172,77172224,77172226,0.906,0.663,12,37,4
chr18,15174,77228248,77228250,0.867,0.656,22,86,7
chr18,15176,77305376,77305378,0.632,0.869,10,22,3
chr18,15177,77315206,77315208,0.851,0.588,20,56,7
chr18,15178,77316735,77316737,0.916,0.664,19,28,3
chr18,15179,77325273,77325275,0.562,0.326,8,22,3
chr18,15180,77534403,77534405,0.387,0.664,23,18,4
chr18,15183,77582863,77582865,0.521,0.76,4,5,3
chr18,15184,77625813,77625815,0.807,0.581,44,109,12
chr18,15187,77900158,77900160,0.676,0.865,15,35,5
chr18,15189,78140158,78140160,0.724,0.504,30,118,9
chr18,15193,78845277,78845279,0.407,0.68,18,89,9
chr18,15194,79091778,79091780,0.648,0.376,34,83,16
chr18,15195,79313619,79313621,0.557,0.339,21,50,7
chr18,15198,79357089,79357091,0.857,0.638,12,30,3
chr18,15199,79390447,79390449,0.38,0.599,9,33,6
chr18,15200,79429268,79429270,0.808,0.588,19,36,3
chr18,15201,79550095,79550097,0.527,0.719,11,37,4
chr18,15202,79692827,79692829,0.468,0.687,5,31,4
chr18,15203,79715035,79715037,0.605,0.337,28,67,10
chr18,15204,79723861,79723863,0.593,0.796,13,38,6
chr18,15205,79762133,79762135,0.538,0.326,9,20,3
chr18,15206,79792871,79792873,0.448,0.681,23,74,10
chr18,15209,79924453,79924455,0.785,0.511,53,91,11
chr18,15210,79930048,79930050,0.627,0.824,12,25,8
chr18,15212,79980116,79980118,0.555,0.868,22,61,11
chr18,15215,80070307,80070309,0.424,0.622,14,28,4
chr18,15216,80085958,80085960,0.455,0.715,17,41,5
chr18,15218,80215348,80215350,0.303,0.492,21,47,10
chr18,15220,80281270,80281272,0.796,0.564,15,37,5
chr18,15221,80347368,80347370,0.709,0.475,83,141,23
chr18,15222,80482327,80482329,0.47,0.166,100,248,24
chr18,15223,80562759,80562761,0.708,0.919,37,100,12
chr18,15224,80804366,80804368,0.24,0.467,40,69,10
chr18,15225,80830241,80830243,0.883,0.614,22,68,7
chr18,15226,80831260,80831262,0.866,0.646,8,23,4
chr18,15228,81044102,81044104,0.382,0.577,15,45,5
chr18,15229,81304180,81304182,0.716,0.914,4,7,3
chr18,15235,81558328,81558330,0.675,0.862,8,21,5
chr18,15236,81568747,81568749,0.766,0.453,9,35,5
chr18,15238,81695570,81695572,0.061,0.322,11,22,3
chr18,15239,81696114,81696116,0.42,0.759,11,24,3
chr18,15241,81808711,81808713,0.52,0.748,11,22,5
chr18,15242,81925926,81925928,0.615,0.852,29,58,9
chr18,15243,81927581,81927583,0.621,0.832,20,54,6
chr18,15247,82507094,82507096,0.479,0.71,48,90,11
chr18,15249,82548897,82548899,0.701,0.921,4,9,3
chr18,15252,82734150,82734152,0.751,0.532,13,14,4
chr18,15253,83544459,83544461,0.795,0.568,18,47,7
chr18,15259,84448914,84448916,0.459,0.654,12,18,3
chr18,15260,85271447,85271449,0.732,0.936,9,15,3
chr18,15262,85272887,85272889,0.739,0.938,16,38,5
chr18,15264,85530529,85530531,0.589,0.877,11,13,3
chr18,15265,85530995,85530997,0.622,0.892,13,18,4
chr18,15274,85983267,85983269,0.989,0.75,7,25,4
chr18,15279,86620385,86620387,0.717,0.903,10,23,4
chr18,15283,86879660,86879662,0.755,0.513,13,32,3
chr18,15286,87286315,87286317,0.663,0.869,7,13,5
chr18,15292,87628742,87628744,0.302,0.077,55,192,15
chr18,15293,87629374,87629376,0.614,0.303,27,52,5
chr18,15298,87825527,87825529,0.517,0.72,12,28,3
chr18,15299,87862409,87862411,0.72,0.966,8,20,3
chr18,15302,88082942,88082944,0.854,0.631,11,110,3
chr19,15311,548167,548169,0.739,0.48,7,13,3
chr19,15312,550862,550864,0.464,0.732,11,22,3
chr19,15321,1523334,1523336,0.899,0.67,20,25,4
chr19,15322,1524143,1524145,0.905,0.694,15,43,6
chr19,15323,1719787,1719789,0.577,0.84,5,23,3
chr19,15324,1721059,1721061,0.601,0.858,23,51,7
chr19,15326,1859894,1859896,0.62,0.829,38,122,15
chr19,15330,2086012,2086014,0.546,0.75,22,32,8
